req_id,doc_id,section,req_type,mandatory,applies_to,condition,priority,due_stage,competency,assessment,prerequisites,clause_text,case_refs
R-HRS-001,HRS-01,2.1,Must Know,Y,HRE,,High,W1,HR Operations,Quiz,,"Right-to-work documents must be verified and copied to the personnel file before the employee's first working day.",
R-HRS-002,HRS-01,2.3,Must Know,Y,HRE,,High,W1,HR Operations,Quiz,R-GDP-008;R-RD3-006,"Personnel files must be created in the HR system within 2 working days of joining; paper files are not permitted.",P7
R-HRS-003,HRS-01,3.1,Must Complete,Y,HRE,,High,W2,HR Operations,Checklist,,"HR Executives must schedule the new hire's Day 1 orientation, badge issue and uniform fitting before the joining date.",
R-HRS-004,HRS-01,4.2,Must Know,Y,HRE,,High,W2,HR Operations,Scenario,R-GDP-008,"Salary and disciplinary information must not be shared with line managers beyond the minimum necessary for approved HR processes.",A06
R-HRS-005,HRS-01,5.1,Must Demonstrate,Y,HRE,,Medium,D30,HR Operations,Practical,R-HRS-002,"HR Executives must demonstrate processing a complete onboarding file, including contract, right-to-work check and probation schedule.",P7
R-HRS-006,HRS-01,6.1,Must Know,Y,HRE,,Medium,D30,HR Operations,Quiz,,"Exit interviews must be offered to every leaver and recorded within 5 working days of the last working day.",
R-ITA-001,ITA-01,2.1,Must Know,Y,ALL,,Medium,W1,IT & Systems,Quiz,R-ISP-001,"System access is requested by the line manager through the IT portal and is granted only after the Information Security Basics module has been completed.",DUP04
R-ITA-002,ITA-01,2.3,Must Know,Y,DMG;FOA;RVA;FNA,,Medium,W2,IT & Systems,Quiz,,"PMS access levels are assigned by role; associates must not request or use a higher access level than their role requires.",
R-ITA-003,ITA-01,3.1,Must Know,Y,ALL,,High,W1,IT & Systems,Quiz,,"Passwords must be at least 10 characters long.",C10
R-ITA-004,ITA-01,3.4,Must Know,Y,ALL,,Medium,W2,IT & Systems,Quiz,,"Personal devices must not be connected to the staff Wi-Fi without enrolment in the Mobile Device Management app.",
R-ITA-005,ITA-01,4.1,Must Know,Y,ALL,,Low,W2,IT & Systems,Quiz,,"Company email and systems must not be used for personal commercial activities.",
R-ITA-006,ITA-01,5.2,Optional,N,ALL,,Low,D60,IT & Systems,None,R-ITA-004,"Employees may request access to the Aurelle Learning app on their personal phone after MDM enrolment.",
R-RD1-001,ROL-01,1.3,Must Demonstrate,Y,FOA,,High,W2,Front Office Operations,Practical,R-FO1-001,"Front Office Associates must complete a standard check-in in under 5 minutes once certified.",
R-RD1-002,ROL-01,1.4,Must Know,Y,FOA,,Medium,W2,Front Office Operations,Quiz,R-REV-001,"Front Office Associates are responsible for offering room upgrades using only the rates available in the PMS.",
R-RD1-003,ROL-01,2.3,Must Complete,Y,GRE,,High,W1,Guest Service Recovery,Checklist,,"Guest Relations Executives must contact every VIP and returning guest within 2 hours of arrival.",
R-RD1-004,ROL-01,2.4,Must Know,Y,GRE,,Medium,W2,Guest Service Recovery,Quiz,R-GR1-002,"Guest Relations Executives must review the Guest Incident Log at the start of every shift.",
R-RD1-005,ROL-01,3.3,Optional,N,HKS,,Medium,W1,Housekeeping Operations,None,,"Housekeeping Supervisors may open guest rooms for guests who have lost their key card after checking the guest's name.",C02
R-RD1-006,ROL-01,3.4,Must Complete,Y,HKS,,High,W2,Housekeeping Operations,Checklist,,"Housekeeping Supervisors must allocate room attendant sections and brief the team before every shift.",
R-RD1-007,ROL-01,4.3,Must Know,Y,FBA,,Medium,W1,Food Safety,Quiz,R-FSA-004,"F&B Associates must know the daily menu, specials and allergen information before service begins.",
R-RD1-008,ROL-01,4.4,Recommended,N,FBA,,Low,D60,Food Safety,None,,"F&B Associates should achieve the Aurelle Service Excellence certificate within 60 days.",
R-RD2-001,ROL-02,1.3,Optional,N,MTT,,Medium,W1,Engineering Safety,None,,"Maintenance Technicians may carry out minor electrical repairs in occupied guest rooms if the guest agrees.",C07
R-RD2-002,ROL-02,1.4,Must Complete,Y,MTT,,Medium,W2,Engineering Safety,Checklist,R-EN1-001,"Maintenance Technicians must complete the planned preventive maintenance tasks assigned in the maintenance system each week.",
R-RD2-003,ROL-02,2.3,Must Know,Y,DMG,,High,W1,Incident Management,Quiz,,"The Duty Manager is the senior manager on duty outside office hours and has authority over all operational decisions until relieved.",
R-RD2-004,ROL-02,2.4,Must Complete,Y,DMG,,High,W1,Incident Management,Checklist,,"Duty Managers must complete a property walk-through, including back-of-house areas, at least twice per shift and log it.",
R-RD2-005,ROL-02,3.3,Must Know,Y,SEE,,Medium,W2,Sales & Events,Quiz,,"Sales & Events Executives are responsible for accounts in their assigned market segment and for meeting the quarterly revenue target set by the Director of Sales.",
R-RD2-006,ROL-02,3.4,Must Complete,Y,SEE,,Medium,W2,Sales & Events,Checklist,R-SAL-001,"Sales & Events Executives must hand over each confirmed event to the Events Operations team at least 14 days before the event.",
R-RD3-001,ROL-03,1.3,Must Know,Y,RVA,,Medium,W2,Revenue Management,Quiz,,"Revenue Analysts are responsible for supporting the Director of Revenue in setting daily rates across all distribution channels.",
R-RD3-002,ROL-03,1.4,Must Demonstrate,Y,RVA,,Medium,D30,Revenue Management,Practical,R-REV-001,"Revenue Analysts must maintain the competitor rate shop and update it daily by 09:00.",
R-RD3-003,ROL-03,2.3,Must Know,Y,FNA,,Medium,W2,Finance Operations,Quiz,,"Finance Associates process accounts payable and city ledger transactions and must follow FIN-01 for all approvals.",XREF
R-RD3-004,ROL-03,2.4,Must Complete,Y,FNA,,Medium,W2,Finance Operations,Checklist,R-ISP-001,"Finance Associates must complete ERP Finance module training before posting any journal entry.",
R-RD3-005,ROL-03,3.3,Must Know,Y,HRE,,Medium,W2,HR Operations,Quiz,,"HR Executives are the first point of contact for employee relations queries at property level.",
R-RD3-006,ROL-03,3.4,Must Complete,Y,HRE,,High,W1,HR Operations,Checklist,R-ISP-001,"HR Executives must complete HR System administrator training before creating personnel files.",P7
R-FAQ-001,FAQ-01,Q4,Optional,N,ALL,,Low,W2,HR Essentials,None,,"Yes, you can carry forward up to 10 days of unused annual leave.",C03
R-FAQ-002,FAQ-01,Q12,Optional,N,FOA,,Low,W1,Front Office Operations,None,,"Front desk staff can waive the late check-out fee for Aurelle Circle loyalty members.",C01
R-FAQ-003,FAQ-01,Q20,Optional,N,FOA;GRE,,Low,W2,Health & Safety,None,,"Guests can use the pool after 20:00 at their own risk if they sign the waiver at Front Office.",C12
R-FAQ-004,FAQ-01,Q7,Must Know,Y,FOA;GRE;HKS;FBA;SEE;RVA;FNA;HRE;DMG,,Low,W1,Workplace Conduct,Quiz,,"Uniforms must be returned to the Uniform Room for laundering; washing uniforms at home is not permitted.",
R-FAQ-005,FAQ-01,Q15,Recommended,N,FOA;GRE,,Low,W2,Front Office Operations,None,,"If you are unsure whether a guest's pet can stay, check the Pet Policy (PET-01).",M01
R-CMP-001,CMP-01,2.1,Must Complete,Y,ALL,,High,D1,Fire & Life Safety,Checklist,,"Fire and Life Safety orientation must be completed on Day 1.",V10;DUP01
R-CMP-002,CMP-01,2.2,Must Complete,Y,FOA;GRE;SEE;RVA;FNA;DMG,,High,W1,Data Privacy,Checklist,R-ISP-001,"Guest Data Privacy training must be completed within Week 1.",V10;DUP02
R-CMP-003,CMP-01,2.3,Must Acknowledge,Y,ALL,,High,W1,Information Security,Acknowledgement,R-ISP-001,"All employees must acknowledge the Information Security Policy in the HR portal within their first week.",
R-CMP-004,CMP-01,3.1,Must Complete,Y,ALL,,High,D30,Company Orientation,Checklist,,"All mandatory e-learning modules in the onboarding plan must be completed with a pass mark of at least 80% within 30 days of joining.",RULE
R-CMP-005,CMP-01,3.3,Must Complete,Y,ALL,,Medium,D90,Company Orientation,None,,"Employees who fail a mandatory assessment twice must be referred to their manager for a coaching review before a third attempt.",RULE
R-CMP-006,CMP-01,4.1,Must Acknowledge,Y,DMG;FNA;SEE,,High,W2,Finance Operations,Acknowledgement,,"Employees with approval authority must sign the Delegation of Authority acknowledgement before exercising any approval limit.",
R-MEM-001,MEM-01,para 2,Optional,N,FOA,,Low,W1,Front Office Operations,None,,"During peak season, front desk staff may accept photos of guest passports via WhatsApp to speed up check-in.",C05
R-MEM-002,MEM-01,para 4,Recommended,N,ALL,,Low,W1,Workplace Conduct,None,,"Please remind your teams to take their breaks away from guest areas.",
R-PTR-001,PTR-01,Clause 4,Not Applicable,N,NONE,,Low,,,None,,"Partner agents shall present a valid Horizon booking voucher when checking in groups.",EXT
